Date,Start,End,Summary,Description
2026-07-27,2026-07-27T08:00:00,2026-07-27T10:00:00,2026-07-27: Minimum spanning trees: Kruskal, Prim (2h),1h theory + 1h practice
2026-07-28,2026-07-28T08:00:00,2026-07-28T10:00:00,2026-07-28: All-pairs shortest paths: Floyd-Warshall (2h),1h theory + 1h practice
2026-07-29,2026-07-29T08:00:00,2026-07-29T10:00:00,2026-07-29: Network flow basics: Ford-Fulkerson intro (2h),1h theory + 1h practice
2026-07-30,2026-07-30T08:00:00,2026-07-30T10:00:00,2026-07-30: Amortized analysis and advanced hashing (2h),1h theory + 1h practice
2026-07-31,2026-07-31T08:00:00,2026-07-31T10:00:00,2026-07-31: Algorithm PYQs and timed practice (2h),1h practice + 1h PYQs
2026-08-01,2026-08-01T09:00:00,2026-08-01T12:00:00,2026-08-01: Subject practice: MST + shortest path + flow problems (3h),3h subject practice
2026-08-02,2026-08-02T09:00:00,2026-08-02T12:00:00,2026-08-02: Full mock: algorithms + TOC + review (3h),3h full mock + review
2026-08-03,2026-08-03T08:00:00,2026-08-03T10:00:00,2026-08-03: Regular expressions and finite automata (2h),1h theory + 1h practice
2026-08-04,2026-08-04T08:00:00,2026-08-04T10:00:00,2026-08-04: DFA/NFA conversions; closure properties (2h),1h theory + 1h practice
2026-08-05,2026-08-05T08:00:00,2026-08-05T10:00:00,2026-08-05: Pumping lemma for regular languages (2h),1h theory + 1h practice
2026-08-06,2026-08-06T08:00:00,2026-08-06T10:00:00,2026-08-06: Context-free grammars; derivations (2h),1h theory + 1h practice
2026-08-07,2026-08-07T08:00:00,2026-08-07T10:00:00,2026-08-07: Pushdown automata and CFG relations (2h),1h theory + 1h practice
2026-08-08,2026-08-08T09:00:00,2026-08-08T12:00:00,2026-08-08: Subject practice: automata + grammars (3h),3h subject practice
2026-08-09,2026-08-09T09:00:00,2026-08-09T12:00:00,2026-08-09: Mini mock: TOC fundamentals + review (3h),3h mini mock + review
2026-08-10,2026-08-10T08:00:00,2026-08-10T10:00:00,2026-08-10: Turing machines: definitions and examples (2h),1h theory + 1h practice
2026-08-11,2026-08-11T08:00:00,2026-08-11T10:00:00,2026-08-11: Decidability vs undecidability; reductions (2h),1h theory + 1h practice
2026-08-12,2026-08-12T08:00:00,2026-08-12T10:00:00,2026-08-12: Closure properties for CFLs and recursive languages (2h),1h theory + 1h practice
2026-08-13,2026-08-13T08:00:00,2026-08-13T10:00:00,2026-08-13: TOC practice PYQs and constructions (2h),1h practice + 1h PYQs
2026-08-14,2026-08-14T08:00:00,2026-08-14T10:00:00,2026-08-14: Quick revision sheet for TOC (2h),1h revision + 1h practice
2026-08-15,2026-08-15T09:00:00,2026-08-15T12:00:00,2026-08-15: Subject practice: TMs + undecidability problems (3h),3h subject practice
2026-08-16,2026-08-16T09:00:00,2026-08-16T12:00:00,2026-08-16: Full mock: TOC + algorithms + review (3h),3h full mock + review
2026-08-17,2026-08-17T08:00:00,2026-08-17T10:00:00,2026-08-17: Lexical analysis: tokens, regex, scanners (2h),1h theory + 1h practice
2026-08-18,2026-08-18T08:00:00,2026-08-18T10:00:00,2026-08-18: Top-down parsing: recursive descent, LL(1) (2h),1h theory + 1h practice
2026-08-19,2026-08-19T08:00:00,2026-08-19T10:00:00,2026-08-19: Bottom-up parsing: LR parsing basics (2h),1h theory + 1h practice
2026-08-20,2026-08-20T08:00:00,2026-08-20T10:00:00,2026-08-20: Syntax-directed translation and semantic actions (2h),1h theory + 1h practice
2026-08-21,2026-08-21T08:00:00,2026-08-21T10:00:00,2026-08-21: Parsing practice problems and PYQs (2h),1h practice + 1h PYQs
2026-08-22,2026-08-22T09:00:00,2026-08-22T12:00:00,2026-08-22: Subject practice: lexical + parsing problems (3h),3h subject practice
2026-08-23,2026-08-23T09:00:00,2026-08-23T12:00:00,2026-08-23: Mini mock: compiler design + review (3h),3h mini mock + review
2026-08-24,2026-08-24T08:00:00,2026-08-24T10:00:00,2026-08-24: Intermediate code generation: TAC examples (2h),1h theory + 1h practice
2026-08-25,2026-08-25T08:00:00,2026-08-25T10:00:00,2026-08-25: Runtime environments: activation records (2h),1h theory + 1h practice
2026-08-26,2026-08-26T08:00:00,2026-08-26T10:00:00,2026-08-26: Local optimizations: constant propagation (2h),1h theory + 1h practice
2026-08-27,2026-08-27T08:00:00,2026-08-27T10:00:00,2026-08-27: Data flow analysis: liveness, CSE (2h),1h theory + 1h practice
2026-08-28,2026-08-28T08:00:00,2026-08-28T10:00:00,2026-08-28: Compiler PYQs and optimization practice (2h),1h practice + 1h PYQs
2026-08-29,2026-08-29T09:00:00,2026-08-29T12:00:00,2026-08-29: Subject practice: code gen + optimizations (3h),3h subject practice
2026-08-30,2026-08-30T09:00:00,2026-08-30T12:00:00,2026-08-30: Full mock: compiler + algorithms + review (3h),3h full mock + review
2026-08-31,2026-08-31T08:00:00,2026-08-31T10:00:00,2026-08-31: Processes, threads, system calls (2h),1h theory + 1h practice
2026-09-01,2026-09-01T08:00:00,2026-09-01T10:00:00,2026-09-01: Concurrency: critical sections, race conditions (2h),1h theory + 1h practice
2026-09-02,2026-09-02T08:00:00,2026-09-02T10:00:00,2026-09-02: Synchronization primitives: semaphores, monitors (2h),1h theory + 1h practice
2026-09-03,2026-09-03T08:00:00,2026-09-03T10:00:00,2026-09-03: Deadlock: detection, prevention, avoidance (2h),1h theory + 1h practice
2026-09-04,2026-09-04T08:00:00,2026-09-04T10:00:00,2026-09-04: OS proofs and small design problems (2h),1h practice + 1h PYQs
2026-09-05,2026-09-05T09:00:00,2026-09-05T12:00:00,2026-09-05: Subject practice: concurrency + deadlock (3h),3h subject practice
2026-09-06,2026-09-06T09:00:00,2026-09-06T12:00:00,2026-09-06: Mini mock: OS + review (3h),3h mini mock + review
2026-09-07,2026-09-07T08:00:00,2026-09-07T10:00:00,2026-09-07: CPU scheduling algorithms: FCFS, SJF, RR (2h),1h theory + 1h practice
2026-09-08,2026-09-08T08:00:00,2026-09-08T10:00:00,2026-09-08: I/O scheduling and device management (2h),1h theory + 1h practice
2026-09-09,2026-09-09T08:00:00,2026-09-09T10:00:00,2026-09-09: Memory management: paging, segmentation (2h),1h theory + 1h practice
2026-09-10,2026-09-10T08:00:00,2026-09-10T10:00:00,2026-09-10: Virtual memory and page replacement algorithms (2h),1h theory + 1h practice
2026-09-11,2026-09-11T08:00:00,2026-09-11T10:00:00,2026-09-11: File systems basics: inodes, allocation strategies (2h),1h theory + 1h practice
2026-09-12,2026-09-12T09:00:00,2026-09-12T12:00:00,2026-09-12: Subject practice: scheduling + memory problems (3h),3h subject practice
2026-09-13,2026-09-13T09:00:00,2026-09-13T12:00:00,2026-09-13: Full mock: OS + architecture + review (3h),3h full mock + review
2026-09-14,2026-09-14T08:00:00,2026-09-14T10:00:00,2026-09-14: ER model and design; mapping ER to relations (2h),1h theory + 1h practice
2026-09-15,2026-09-15T08:00:00,2026-09-15T10:00:00,2026-09-15: Relational algebra and tuple calculus basics (2h),1h theory + 1h practice
2026-09-16,2026-09-16T08:00:00,2026-09-16T10:00:00,2026-09-16: SQL: SELECT, JOINs, subqueries, aggregation (2h),1h theory + 1h practice
2026-09-17,2026-09-17T08:00:00,2026-09-17T10:00:00,2026-09-17: Integrity constraints and transactions intro (2h),1h theory + 1h practice
2026-09-18,2026-09-18T08:00:00,2026-09-18T10:00:00,2026-09-18: Practice SQL queries and optimization basics (2h),1h practice + 1h PYQs
2026-09-19,2026-09-19T09:00:00,2026-09-19T12:00:00,2026-09-19: Subject practice: ER + SQL problems (3h),3h subject practice
2026-09-20,2026-09-20T09:00:00,2026-09-20T12:00:00,2026-09-20: Mini mock: databases + review (3h),3h mini mock + review
2026-09-21,2026-09-21T08:00:00,2026-09-21T10:00:00,2026-09-21: Normal forms and normalization (1NF to BCNF) (2h),1h theory + 1h practice
2026-09-22,2026-09-22T08:00:00,2026-09-22T10:00:00,2026-09-22: File organization and indexing: B-trees, B+ trees (2h),1h theory + 1h practice
2026-09-23,2026-09-23T08:00:00,2026-09-23T10:00:00,2026-09-23: Transactions: ACID properties, serializability (2h),1h theory + 1h practice
2026-09-24,2026-09-24T08:00:00,2026-09-24T10:00:00,2026-09-24: Concurrency control: locking, 2PL (2h),1h theory + 1h practice
2026-09-25,2026-09-25T08:00:00,2026-09-25T10:00:00,2026-09-25: Recovery techniques: logs, checkpoints (2h),1h theory + 1h practice
2026-09-26,2026-09-26T09:00:00,2026-09-26T12:00:00,2026-09-26: Subject practice: indexing + transactions (3h),3h subject practice
2026-09-27,2026-09-27T09:00:00,2026-09-27T12:00:00,2026-09-27: Full mock: DB + systems + review (3h),3h full mock + review
2026-09-28,2026-09-28T08:00:00,2026-09-28T10:00:00,2026-09-28: OSI and TCP/IP stacks overview (2h),1h theory + 1h practice
2026-09-29,2026-09-29T08:00:00,2026-09-29T10:00:00,2026-09-29: Data link layer: framing, error detection (2h),1h theory + 1h practice
2026-09-30,2026-09-30T08:00:00,2026-09-30T10:00:00,2026-09-30: MAC protocols and Ethernet basics (2h),1h theory + 1h practice
2026-10-01,2026-10-01T08:00:00,2026-10-01T10:00:00,2026-10-01: Network layer: IP addressing, fragmentation (2h),1h theory + 1h practice
2026-10-02,2026-10-02T08:00:00,2026-10-02T10:00:00,2026-10-02: CIDR notation and subnetting practice (2h),1h practice + 1h subnetting
2026-10-03,2026-10-03T09:00:00,2026-10-03T12:00:00,2026-10-03: Subject practice: subnetting + link layer problems (3h),3h subject practice
2026-10-04,2026-10-04T09:00:00,2026-10-04T12:00:00,2026-10-04: Mini mock: networks + review (3h),3h mini mock + review
2026-10-05,2026-10-05T08:00:00,2026-10-05T10:00:00,2026-10-05: Routing algorithms: distance vector, link state (2h),1h theory + 1h practice
2026-10-06,2026-10-06T08:00:00,2026-10-06T10:00:00,2026-10-06: Transport layer: UDP, TCP basics (2h),1h theory + 1h practice
2026-10-07,2026-10-07T08:00:00,2026-10-07T10:00:00,2026-10-07: Flow control and congestion control (2h),1h theory + 1h practice
2026-10-08,2026-10-08T08:00:00,2026-10-08T10:00:00,2026-10-08: Application layer: DNS, HTTP, SMTP, FTP (2h),1h theory + 1h practice
2026-10-09,2026-10-09T08:00:00,2026-10-09T10:00:00,2026-10-09: IP support protocols: ARP, DHCP, ICMP, NAT overview (2h),1h theory + 1h practice
2026-10-10,2026-10-10T09:00:00,2026-10-10T15:00:00,2026-10-10: Full 3-hour subjectwise mock + 3h review (6h),6h subject mock + review (09:00-15:00)
2026-10-11,2026-10-11T09:00:00,2026-10-11T15:00:00,2026-10-11: Full 3-hour full-syllabus mock + 3h detailed error analysis (6h),6h full mock + review (09:00-15:00)
